Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML
A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7				1.48141e+06
A0A061ACL3;O76618;Q965I6				5.45525e+06
A0A061ACR1;F5GUA3;Q22498;Q2XN02	COPG_CAEEL	copg-1		5.61282e+06
A0A061ACY0;Q21224				3.88771e+06
A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313	EPI1_CAEEL	epi-1		1.17286e+07
A0A061AD47;A0A061AE99;Q86CZ7				6.72464e+06
A0A061AE05;Q22501				1.15616e+06
A0A061AJK8;A0A061AL89;Q21920	ANKHM_CAEEL	mask-1		1.26511e+06
A0A061AL58;O62020				131405
A0A078BQL1;O62444;Q2XMY1				843129
A0A078BS63;H1ZUX6;O45000				1.74706e+06
A0A9S2				3.13054e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	1.4499e+07
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2.56692e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.48046e+07
A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	2.81276e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	6.66612e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	5.16409e+06
A1A5D9	BICL2_HUMAN	BICDL2	BICD family-like cargo adapter 2	3.07859e+07
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1.375e+07
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;Q13065;Q13067;Q13068;Q13069;Q13070	GAGE1_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	4.1414e+06
A2A2Z9;Q8IVF6	AN18A_HUMAN;AN18B_HUMAN	ANKRD18A;ANKRD18B	Ankyrin repeat domain-containing protein 18B	3.80595e+07
A2RRD8	ZN320_HUMAN	ZNF320	Zinc finger protein 320	2.04437e+07
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	831280
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	9.70369e+06
A2V8C3				886634
A3FPK9				532288
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	2.19486e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	6.01287e+06
A3QMB7				1.75642e+07
A3QMC2;G5EFT4	AMP1_CAEEL	ltah-1.1		2.79332e+06
A3QMC5				1.60977e+08
A3QMC8	GMPPB_CAEEL	tag-335	Mannose-1-phosphate guanyltransferase beta	3.3635e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	1.2218e+06
A4UGR9	XIRP2_HUMAN	XIRP2	Xin actin-binding repeat-containing protein 2	1.35736e+06
A4UVK2				862607
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	4.43145e+06
A5A8Q9;B1V8A0;O61843	SH3GH_CAEEL	unc-57		5.50448e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	412831
A5HU98;P91425				5.88232e+06
A5JYR4;Q8I4G9;Q8I4H0;Q9U3A6				1.71448e+06
A5JYX3;I7J4D2;I7K4K5;I7LFF2;P90947	HMP1_CAEEL	hmp-1		841920
A5JYX4				2.06294e+06
A5JYX8;O18033	NCLN_CAEEL	nra-2	Nicalin	8.22214e+06
A5PEX6;G2HK02;G2HK03;K8ESL3;Q9U207				1.04162e+06
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	2.21638e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	4.32047e+07
A5Z2S4;B2D6K9;Q18696	PPH6R_CAEEL	saps-1		860546
A5Z2W3;H9G321				1.04992e+07
