Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML
A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7				1.39082e+06
A0A061ACL3;O76618;Q965I6				3.89043e+06
A0A061ACR1;F5GUA3;Q22498;Q2XN02	COPG_CAEEL	copg-1		4.1403e+06
A0A061ACY0;Q21224				3.26118e+06
A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313	EPI1_CAEEL	epi-1		9.50582e+06
A0A061AD47;A0A061AE99;Q86CZ7				1.02425e+07
A0A061AL58;O62020				237090
A0A078BS63;H1ZUX6;O45000				1.33841e+06
A0A9S2				945334
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	2.43182e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1.76096e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.29538e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	6.68707e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	2.94776e+06
A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	2.48956e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	9.41398e+06
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	705273
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;Q13065;Q13067;Q13068;Q13069;Q13070	GAGE1_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	3.96408e+06
