Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML
A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7				1.04852e+06
A0A061ACL3;O76618;Q965I6				4.94663e+06
A0A061ACR1;F5GUA3;Q22498;Q2XN02	COPG_CAEEL	copg-1		4.39547e+06
A0A061ACY0;Q21224				4.48928e+06
A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313	EPI1_CAEEL	epi-1		1.06827e+07
A0A061AD47;A0A061AE99;Q86CZ7				4.65084e+06
A0A061AE05;Q22501				953456
A0A061AJK8;A0A061AL89;Q21920	ANKHM_CAEEL	mask-1		747079
A0A061AL58;O62020				326942
A0A078BQL1;O62444;Q2XMY1				977844
A0A078BS63;H1ZUX6;O45000				1.68511e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	1.2582e+07
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1.07958e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.23646e+07
A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	3.43181e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	6.84546e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3.68818e+06
A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	1.5128e+06
A1A5D9	BICL2_HUMAN	BICDL2	BICD family-like cargo adapter 2	148483
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	9.51818e+06
A1L188	NDUF8_HUMAN	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	210965
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;Q13065;Q13067;Q13068;Q13069;Q13070	GAGE1_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	3.03406e+06
A2A2Z9;Q8IVF6	AN18A_HUMAN;AN18B_HUMAN	ANKRD18A;ANKRD18B	Ankyrin repeat domain-containing protein 18B	4.25451e+07
A2RRD8	ZN320_HUMAN	ZNF320	Zinc finger protein 320	1.15071e+07
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	679410
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	8.6781e+06
A3FPK9				672677
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	2.32533e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	4.6361e+06
A3QMB7				1.76823e+07
A3QMC2;G5EFT4	AMP1_CAEEL	ltah-1.1		1.47918e+06
A3QMC5				1.27277e+08
A3QMC8	GMPPB_CAEEL	tag-335	Mannose-1-phosphate guanyltransferase beta	2.13964e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	1.37274e+06
A4UGR9	XIRP2_HUMAN	XIRP2	Xin actin-binding repeat-containing protein 2	3.52608e+06
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	3.62767e+06
A5A8Q9;B1V8A0;O61843	SH3GH_CAEEL	unc-57		4.43052e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	750502
A5HU98;P91425				6.60046e+06
A5HWA4;Q9XW51				214259
A5HWB2;Q9NES9				2.23046e+06
A5JYR4;Q8I4G9;Q8I4H0;Q9U3A6				1.43597e+06
A5JYX3;I7J4D2;I7K4K5;I7LFF2;P90947	HMP1_CAEEL	hmp-1		1.09077e+06
A5JYX4				1.84633e+06
A5JYX8;O18033	NCLN_CAEEL	nra-2	Nicalin	2.20072e+06
A5PEX6;G2HK02;G2HK03;K8ESL3;Q9U207				1.39387e+06
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	1.82114e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	3.66868e+07
A5Z2S4;B2D6K9;Q18696	PPH6R_CAEEL	saps-1		1.61733e+06
A5Z2W3;H9G321				9.50539e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1.23868e+07
A6NC78	GOG8I_HUMAN	GOLGA8IP	Putative golgin subfamily A member 8I	5.25504e+06
A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	111221
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.20165e+07
A6NCN2	KR87P_HUMAN	KRT87P	Putative keratin-87 protein	1.37333e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	9.9818e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	7.0697e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	2.69515e+06
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	279035
A6NGY5	O51F1_HUMAN	OR51F1	Olfactory receptor 51F1	5.72579e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	5.98103e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.03228e+07
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	6.49326e+06
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2.41162e+06
A6NKT7	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3	5.64272e+06
A6ZJ46;Q20621;Q8I4I4				4.03969e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	834973
A7DT40				710659
A7DT45				5.56101e+06
A7DTF0;Q9XWW2				2.27193e+06
A7DTF5;Q9U222				5.59123e+06
A7LPE6;P34517;Q7JMU1	GPDH2_CAEEL	gpdh-2		2.60712e+07
A7LPF3;Q20364				1.73203e+06
A7LPG5;Q5FC71				7.6773e+06
A7LPI4;Q93616				480281
A7LPJ5				3.85636e+06
A8MT70	ZBBX_HUMAN	ZBBX	Zinc finger B-box domain-containing protein 1	6.71478e+06
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.44294e+08
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	1.42706e+06
A8WHR6;Q19775;Q7JLJ3	PPM1A_CAEEL	ppm-1.A		7.48632e+06
A8WI97;L8E6L7;L8E811;L8EC36;Q8I4B8;Q9U1T6				2.05609e+06
A9CZN9;Q966L2				2.0674e+06
A9D0C6				1.41265e+06
A9D2X7;Q9BKU2;X5LPX5				2.71482e+06
A9UJN7				9.01947e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	9.10924e+06
B0M0L8;H2KYS1				5.50304e+06
B1Q254;B1Q255				578988
B1V898				781524
B2D6K7;D4PH96;G5ED29	ATX2_CAEEL	atx-2		4.90204e+06
B2D6P1				7.04346e+06
B2FDA8	SMC3_CAEEL	smc-3	Structural maintenance of chromosomes protein 3	904642
B2MZA9;Q10923;Q95QZ3;Q95QZ4				1.44136e+06
B3CJ34				6.9286e+06
B3GWA1				2.35825e+06
B3GWC0;Q19427	NPY1_CAEEL	ndx-9		545259
B3WFT8				5.41674e+06
B3WFV9;G5EC65;G5EDF4				2.12371e+06
B3WFW9				5.99099e+06
B3WFY7;P90933				1.1476e+06
B3WFZ3;B3WFZ4				1.2671e+06
B4E3X6				3.32965e+06
B5BM23;Q21531;Q7JMF0				7.47299e+06
B5BM32;Q9XVS7	NXF1_CAEEL	nxf-1		1.65018e+06
B5BM47;Q9XTY7				834940
B5U8N2				2.32663e+06
B6VQ41;Q21020				1.34731e+06
B6VQ59;Q19346				2.07245e+06
B7FAR9;D9PTN8				9.26174e+06
B7WN66;I2HAA6;I2HAA7;Q94279				216079
B7WN92				541728
B7WN95				2.27618e+08
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	80606.5
B9WRS6;H2KYL7;H2KYL8				2.27036e+07
C0P278				805446
C0Z1Y9				2.26914e+06
C1P622;Q09517;S6FCZ1	LE767_CAEEL	let-767		1.20876e+07
C1P627;Q22028				3.21435e+06
C1P629;C6KRJ2;Q18937				7.45215e+06
C1P636;Q27481				2.01208e+07
C2BR91				5.73624e+06
C2BR94;H2L0N5				1.39138e+07
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	1.62046e+06
C5VUK2;Q95PZ0	CSN6_CAEEL	csn-6		2.07476e+06
C6KRG1;H2KZY6				7.81482e+06
C6KRI9;Q22847;X5M5W2;X5M900				3.14127e+06
C6KRK8;Q21890	YF64_CAEEL	R102.4		2.22993e+06
C6KRN4;Q5FC39				2.4886e+06
C6KRQ4;Q9XTQ6	TBH1_CAEEL	tbh-1		929966
C7FZU3;C7FZU4;Q93791				4.81895e+06
C9IY21;C9IY22				4.86928e+06
D0IMZ5;U4PR92				1.87296e+07
D0PV95	DDX3_CAEEL	laf-1	ATP-dependent RNA helicase laf-1	1.46668e+07
D0VWL6				3.94517e+06
D0VWM8;Q20414	TADBP_CAEEL	tdp-1	Tar DNA-binding protein homolog 1	142927
D0Z5P0				835912
D1MN80;Q20184				690760
D3NQA9;Q2YS41				2.8761e+06
D3YT36;D3YT37;Q23539				4.76412e+06
D3YT56				1.13569e+07
D4YWC3				2.92064e+06
D5MCN2	LARP1_CAEEL	larp-1	La-related protein 1	9.44739e+06
D5MCQ1;D5MCQ2;D5MCQ3;D5MCQ4;D5MCQ5;D5MCQ6;D5MCQ7;D5MCQ8;D5MCQ9;D5MCR3;D5MCR4;D5MCR5;Q21900;Q7JMB8				1.67762e+07
D7SFI3				1.06823e+07
D7SFK2				308460
D9PTP5;D9PTP6				2.42455e+06
E0AHA7;G5EG85				1.42235e+07
E0R7L2				1.67383e+06
E1B6Q7				1.01096e+07
E1B6R3;P34445	YL87_CAEEL	F54C8.7		2.99163e+06
E2JKZ0;L8E938;L8EC32;Q23542				1.80529e+06
E3W741;Q18878				2.94645e+06
E5QCI8;O45666	NHR49_CAEEL	nhr-49		407916
E9P883;G5ECN9;Q18772	NEC2_CAEEL	egl-3		2.13205e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	8.86353e+07
E9RKC7				2.08029e+06
F3Y5Q2;Q9U2B0;S6FWQ3				468541
F5GU60;H2KZS0				1.68011e+06
