Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML
A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7				1.58512e+06
A0A061ACL3;O76618;Q965I6				2.49666e+06
A0A061ACR1;F5GUA3;Q22498;Q2XN02	COPG_CAEEL	copg-1		3.65012e+06
A0A061ACY0;Q21224				1.89071e+06
A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313	EPI1_CAEEL	epi-1		6.06563e+06
A0A061AD47;A0A061AE99;Q86CZ7				2.31174e+06
A0A061AJK8;A0A061AL89;Q21920	ANKHM_CAEEL	mask-1		676351
A0A061AL58;O62020				224902
A0A078BS63;H1ZUX6;O45000				1.37327e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	2.15416e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1.16911e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.51764e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	5.86006e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	2.39175e+06
A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	1.38982e+06
A1A5D9	BICL2_HUMAN	BICDL2	BICD family-like cargo adapter 2	140336
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	7.11195e+06
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;Q13065;Q13067;Q13068;Q13069;Q13070	GAGE1_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	4.01846e+06
A2A2Z9;Q8IVF6	AN18A_HUMAN;AN18B_HUMAN	ANKRD18A;ANKRD18B	Ankyrin repeat domain-containing protein 18B	3.41035e+07
A2RRD8	ZN320_HUMAN	ZNF320	Zinc finger protein 320	4.91546e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	423147
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	7.90496e+06
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	2.38342e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5.11848e+06
A3QMB7				1.06575e+07
A3QMC2;G5EFT4	AMP1_CAEEL	ltah-1.1		1.46213e+06
A3QMC5				1.1346e+08
A3QMC8	GMPPB_CAEEL	tag-335	Mannose-1-phosphate guanyltransferase beta	939390
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	1.34506e+06
A4UGR9	XIRP2_HUMAN	XIRP2	Xin actin-binding repeat-containing protein 2	3.87089e+06
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	1.96706e+06
A5A8Q9;B1V8A0;O61843	SH3GH_CAEEL	unc-57		4.21354e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1.28787e+06
A5HU98;P91425				6.19213e+06
A5JYR4;Q8I4G9;Q8I4H0;Q9U3A6				825635
