Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML
A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7				1.15403e+06
A0A061ACL3;O76618;Q965I6				4.30883e+06
A0A061ACR1;F5GUA3;Q22498;Q2XN02	COPG_CAEEL	copg-1		4.77574e+06
A0A061ACY0;Q21224				3.91079e+06
A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313	EPI1_CAEEL	epi-1		1.09108e+07
A0A061AD47;A0A061AE99;Q86CZ7				1.71549e+06
A0A061AL58;O62020				237674
A0A078BS63;H1ZUX6;O45000				1.15436e+06
A0A9S2				2.712e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	3.12875e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2.19504e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.68195e+07
A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	1.40669e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1.11725e+07
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3.43134e+06
A1A5D9	BICL2_HUMAN	BICDL2	BICD family-like cargo adapter 2	123280
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1.61727e+07
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	1.0066e+06
