Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\E20200929yuanch_Connie_TCPA_60minDIA_b2-2.mzML
A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	4.48491e+06
A0A075B767	PAL4H_HUMAN	PPIAL4H	Peptidyl-prolyl cis-trans isomerase A-like 4H	1.31071e+07
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	4.12168e+07
A0A087WW87	KV240_HUMAN	IGKV2-40	Immunoglobulin kappa variable 2-40	1.7186e+08
A0A087X1C5	CP2D7_HUMAN	CYP2D7	Putative cytochrome P450 2D7	4.69968e+06
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	1.65545e+07
A0A0B4J1V1	HV321_HUMAN	IGHV3-21	Immunoglobulin heavy variable 3-21	4.695e+06
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	1.27005e+08
A0A0B4J2D5	GAL3B_HUMAN	GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	6.15607e+07
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	4.93153e+07
A0A0C4DH29	HV103_HUMAN	IGHV1-3	Immunoglobulin heavy variable 1-3	1.07245e+07
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	1.47474e+07
A0A0C4DH67	KV108_HUMAN	IGKV1-8	Immunoglobulin kappa variable 1-8	9.93722e+06
A0A0C4DH68	KV224_HUMAN	IGKV2-24	Immunoglobulin kappa variable 2-24	1.11088e+07
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	1.55627e+07
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	1.32309e+08
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	1.00308e+07
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1.17901e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	5.13699e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1.70138e+07
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1.01527e+07
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	8.77174e+06
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	1.1356e+07
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	5.31325e+06
A2RUB1	MEIOC_HUMAN	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC	2.44186e+07
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	5.89447e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	1.00019e+07
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	3.48765e+07
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	1.23291e+07
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	1.36905e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	4.95776e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	5.46736e+07
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	8.35334e+06
A6NDB9	PALM3_HUMAN	PALM3	Paralemmin-3	6.95559e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	8.11704e+07
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	4.41854e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	6.13092e+06
A6NLP5	TTC36_HUMAN	TTC36	Tetratricopeptide repeat protein 36	2.11226e+07
A6NMZ7	CO6A6_HUMAN	COL6A6	Collagen alpha-6(VI) chain	7.65601e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	597403
A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32	2.59353e+06
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	1.45168e+07
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	704349
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	3.94185e+06
B7ZAQ6	GPHRA_HUMAN	GPR89A	Golgi pH regulator A	2.67229e+07
C4AMC7	WASH3_HUMAN	WASH3P	Putative WAS protein family homolog 3	5.78113e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	7.79123e+06
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	9.45713e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.54537e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4.1714e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	2.33403e+06
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	5.04841e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1.57327e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	7.37908e+06
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.2932e+07
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	1.43768e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	6.667e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	4.9937e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	5.70138e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	6.03015e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	2.35091e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	1.52835e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1.86531e+07
O00168	PLM_HUMAN	FXYD1	Phospholemman	2.55236e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	1.17954e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	8.68306e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	1.77923e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.0301e+07
O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	4.59962e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1.06333e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	6.7635e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	2.53273e+07
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.8384e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	5.62575e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.78218e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.87743e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	6.92854e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.3808e+07
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.22703e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	1.93925e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.06764e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	4.52418e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	1.4321e+07
O00339	MATN2_HUMAN	MATN2	Matrilin-2	3.16482e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.0617e+07
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	6.34844e+06
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	9.09309e+06
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	1.38266e+07
O00410	IPO5_HUMAN	IPO5	Importin-5	2.4945e+07
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	2.53648e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	4.40586e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	3.53145e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1.47045e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.23706e+07
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	560876
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	436020
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	5.81079e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	4.47338e+07
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	1.47008e+06
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	7.64441e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	3.97926e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	6.80101e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	7.26558e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	3.99602e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	9.23083e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	5.78654e+06
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	2.75005e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	1.85521e+07
O00519	FAAH1_HUMAN	FAAH	Fatty-acid amide hydrolase 1	6.46636e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	2.63273e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	2.0322e+07
O00559	RCAS1_HUMAN	EBAG9	Receptor-binding cancer antigen expressed on SiSo cells	2.91151e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	7.10628e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	6.68473e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	4.1716e+07
