Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\E20200928yuanch_Connie_TCPA_60minDIA_b1-8.mzML
A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	4.64965e+06
A0A075B767	PAL4H_HUMAN	PPIAL4H	Peptidyl-prolyl cis-trans isomerase A-like 4H	7.25652e+06
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	4.7907e+07
A0A087WW87	KV240_HUMAN	IGKV2-40	Immunoglobulin kappa variable 2-40	9.45895e+07
A0A087X1C5	CP2D7_HUMAN	CYP2D7	Putative cytochrome P450 2D7	9.22358e+06
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	1.56706e+07
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	7.16862e+07
A0A0B4J2D5	GAL3B_HUMAN	GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	5.76989e+07
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	2.44054e+07
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	3.82825e+07
A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	7.34567e+06
A0A0C4DH67	KV108_HUMAN	IGKV1-8	Immunoglobulin kappa variable 1-8	7.65308e+06
A0A0C4DH68	KV224_HUMAN	IGKV2-24	Immunoglobulin kappa variable 2-24	6.19959e+06
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	1.19745e+08
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	5.96499e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1.80536e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.27723e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	3.39896e+07
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	8.88998e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	3.22191e+07
A2CJ06	DYTN_HUMAN	DYTN	Dystrotelin	2.8388e+08
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	5.7086e+07
A2RUB1	MEIOC_HUMAN	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC	4.13505e+07
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	1.71829e+07
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	2.61804e+06
A4D126	ISPD_HUMAN	CRPPA	D-ribitol-5-phosphate cytidylyltransferase	1.91776e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	1.29075e+07
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	4.95066e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1.5359e+07
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.05095e+07
A6NDB9	PALM3_HUMAN	PALM3	Paralemmin-3	1.12918e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	3.24663e+07
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	2.11228e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	4.88375e+06
A6NI79	CCD69_HUMAN	CCDC69	Coiled-coil domain-containing protein 69	2.57912e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	7.96132e+06
A6NLP5	TTC36_HUMAN	TTC36	Tetratricopeptide repeat protein 36	1.10599e+07
A6NMZ7	CO6A6_HUMAN	COL6A6	Collagen alpha-6(VI) chain	4.12792e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	2.37052e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	892812
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	2.12479e+07
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	437227
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	8.96635e+06
B7ZAQ6	GPHRA_HUMAN	GPR89A	Golgi pH regulator A	2.98356e+07
C4AMC7	WASH3_HUMAN	WASH3P	Putative WAS protein family homolog 3	1.51343e+07
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	8.59036e+06
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.28745e+08
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.5302e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	3.81786e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	3.14559e+07
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	1.74232e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1.70792e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	7.15351e+06
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.50342e+07
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	2.39579e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	6.33801e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	7.02712e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	2.33189e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	9.2e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	6.86443e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	2.14338e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	5.03603e+06
O00168	PLM_HUMAN	FXYD1	Phospholemman	5.52928e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.12205e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	1.01357e+07
O00182	LEG9_HUMAN	LGALS9	Galectin-9	6.96218e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.22532e+07
O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	9.75993e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1.04828e+07
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	3.81278e+07
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	2.0721e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	6.46125e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.89182e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	2.41267e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	9.26677e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.14891e+07
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.232e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	1.07714e+07
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	9.53108e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	7.32469e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	1.50202e+07
O00338	ST1C2_HUMAN	SULT1C2	Sulfotransferase 1C2	2.76776e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	3.13222e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.7398e+07
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	1.05376e+07
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	1.07175e+07
O00410	IPO5_HUMAN	IPO5	Importin-5	5.20677e+07
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	3.09246e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	7.65706e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2.08712e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.61529e+07
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	804224
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	4.94089e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	4.42417e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	8.25094e+07
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	7.68276e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	5.08414e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	3.23103e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	8.12554e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	4.80928e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	7.82323e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	6.21671e+06
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	1.60488e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	2.66186e+07
O00519	FAAH1_HUMAN	FAAH	Fatty-acid amide hydrolase 1	5.87613e+06
O00533	NCHL1_HUMAN	CHL1	Neural cell adhesion molecule L1-like protein	3.12222e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	2.85526e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.72889e+07
O00559	RCAS1_HUMAN	EBAG9	Receptor-binding cancer antigen expressed on SiSo cells	2.05488e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	3.84053e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	6.0356e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	1.92574e+08
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.51104e+07
O00592	PODXL_HUMAN	PODXL	Podocalyxin	8.84776e+06
O00625	PIR_HUMAN	PIR	Pirin	7.45978e+06
O00628	PEX7_HUMAN	PEX7	Peroxisomal targeting signal 2 receptor	4.27963e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	1.91867e+07
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	2.15519e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1.38912e+07
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	8.48499e+06
O00746	NDKM_HUMAN	NME4	Nucleoside diphosphate kinase, mitochondrial	1.08267e+07
O00748	EST2_HUMAN	CES2	Cocaine esterase	1.41791e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	3.2704e+07
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	3.18577e+07
O00757	F16P2_HUMAN	FBP2	Fructose-1,6-bisphosphatase isozyme 2	3.60966e+06
O00763	ACACB_HUMAN	ACACB	Acetyl-CoA carboxylase 2	7.80625e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	6.42449e+07
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	2.1032e+07
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	9.82684e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	1.90548e+08
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2.73351e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	1.12007e+07
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	1.09558e+08
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	2.13029e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	2.32166e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.79566e+07
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	2.04733e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	2.42037e+07
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	2.96216e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	3.36976e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	6.09437e+06
