Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\A20200127caix_yuanch_TCPA_CA_120min_DIA_10.mzML
A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	7.47346e+06
A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10	7.81741e+06
A0A075B767	PAL4H_HUMAN	PPIAL4H	Peptidyl-prolyl cis-trans isomerase A-like 4H	3.32074e+06
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	1.29297e+08
A0A087WW87	KV240_HUMAN	IGKV2-40	Immunoglobulin kappa variable 2-40	7.45401e+07
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	1.2124e+07
A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	5.46691e+06
A0A0B4J1V1	HV321_HUMAN	IGHV3-21	Immunoglobulin heavy variable 3-21	1.1892e+07
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	5.56167e+07
A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49	3.83287e+06
A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72	9.29832e+07
A0A0B4J2D5	GAL3B_HUMAN	GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	6.84915e+06
A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	Immunoglobulin heavy variable 1-69D	3.43787e+06
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	2.63699e+07
A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18	4.71522e+06
A0A0C4DH34	HV428_HUMAN	IGHV4-28	Immunoglobulin heavy variable 4-28	1.68032e+07
A0A0C4DH35	HV335_HUMAN	IGHV3-35	Probable non-functional immunoglobulin heavy variable 3-35	1.65181e+06
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	1.86085e+06
A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	1.52727e+07
A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	Immunoglobulin heavy variable 2-70D	3.01356e+07
A0A0C4DH67	KV108_HUMAN	IGKV1-8	Immunoglobulin kappa variable 1-8	3.60447e+06
A0A0C4DH68	KV224_HUMAN	IGKV2-24	Immunoglobulin kappa variable 2-24	3.50047e+06
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	3.40033e+06
A0A0J9YVY3	HV741_HUMAN	IGHV7-4-1	Immunoglobulin heavy variable 7-4-1	1.88258e+06
A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	Immunoglobulin heavy variable 5-10-1	1.146e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	1.16048e+07
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2.56145e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	9.54442e+07
A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	7.74791e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	4.23614e+06
A0PJW8	DAPL1_HUMAN	DAPL1	Death-associated protein-like 1	3.63508e+06
A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	6.55408e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	2.77554e+06
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	585555
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	7.83863e+07
A2A288	ZC12D_HUMAN	ZC3H12D	Probable ribonuclease ZC3H12D	1.48267e+06
A2CJ06	DYTN_HUMAN	DYTN	Dystrotelin	1.06064e+07
A2NJV5	KV229_HUMAN	IGKV2-29	Immunoglobulin kappa variable 2-29	2.97228e+07
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	2.54146e+06
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	539347
A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	1.99451e+06
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	2.45758e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	2.18398e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	8.38652e+06
A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5	1.70927e+07
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	1.75721e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	4.21635e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1.27414e+07
A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	646053
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	7.54743e+06
A6ND36	FA83G_HUMAN	FAM83G	Protein FAM83G	7.75961e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	2.44168e+06
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	5.28549e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	64842
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	6.6237e+06
A6NFN3	RFOX3_HUMAN	RBFOX3	RNA binding protein fox-1 homolog 3	5.624e+06
A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	830408
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.132e+07
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	7.36227e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	720090
A6NKN8	PC4L1_HUMAN	PCP4L1	Purkinje cell protein 4-like protein 1	336921
A6NMB1	SIG16_HUMAN	SIGLEC16	Sialic acid-binding Ig-like lectin 16	4.70086e+07
A6NMY6	AXA2L_HUMAN	ANXA2P2	Putative annexin A2-like protein	1.04192e+07
A6QL63	ABTB3_HUMAN	ABTB3	Ankyrin repeat and BTB/POZ domain-containing protein 3	1.3314e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	2.76419e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	855975
A7E2Y1	MYH7B_HUMAN	MYH7B	Myosin-7B	7.68722e+06
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	4.30283e+06
A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1	3.18132e+07
A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2	3.9351e+06
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	6.29651e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	8.89586e+06
B7ZAQ6	GPHRA_HUMAN	GPR89A	Golgi pH regulator A	829106
B9A064	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	3.38561e+07
C4AMC7	WASH3_HUMAN	WASH3P	Putative WAS protein family homolog 3	7.6457e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	1.35542e+07
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	3.76977e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.13769e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	8.84108e+06
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	2.28155e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1.24559e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2.13022e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	5.4804e+06
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	4.61362e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	1.98702e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1.25278e+08
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.87837e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	6.39483e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	1.06492e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	1.92073e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1.83723e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.41255e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	3.32382e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	3.33334e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	7.12901e+06
O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	719606
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1.00266e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	6.02609e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	1.33052e+07
