Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\B20190319yix_KRUK_DIA_b5_15.mzML
A0A075B6H7	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	5.07317e+06
A0A075B6J9	LV218_HUMAN	IGLV2-18	Immunoglobulin lambda variable 2-18	3.5104e+06
A0A087WSY4	HV432_HUMAN	IGHV4-30-2	Immunoglobulin heavy variable 4-30-2	2.43147e+06
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	1.18336e+07
A0A087WW87	KV240_HUMAN	IGKV2-40	Immunoglobulin kappa variable 2-40	1.14602e+08
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	2.31073e+07
A0A0A0MT89	KJ01_HUMAN	IGKJ1	Immunoglobulin kappa joining 1	4.32678e+06
A0A0B4J1U7	HV601_HUMAN	IGHV6-1	Immunoglobulin heavy variable 6-1	6.60654e+06
A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	5.08183e+06
A0A0B4J1V2	HV226_HUMAN	IGHV2-26	Immunoglobulin heavy variable 2-26	2.29743e+06
A0A0B4J1V6	HV373_HUMAN	IGHV3-73	Immunoglobulin heavy variable 3-73	5.5046e+06
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	7.25035e+07
A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72	1.1808e+08
A0A0B4J2D5	GAL3B_HUMAN	GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	3.37244e+06
A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	Immunoglobulin heavy variable 1-69D	2.60258e+06
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	4.49647e+07
A0A0C4DH29	HV103_HUMAN	IGHV1-3	Immunoglobulin heavy variable 1-3	3.62628e+06
A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18	7.29154e+06
A0A0C4DH34	HV428_HUMAN	IGHV4-28	Immunoglobulin heavy variable 4-28	1.99758e+07
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	2.02152e+07
A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	2.84913e+07
A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	Immunoglobulin heavy variable 2-70D	9.3821e+08
A0A0C4DH67	KV108_HUMAN	IGKV1-8	Immunoglobulin kappa variable 1-8	5.83059e+06
A0A0C4DH68	KV224_HUMAN	IGKV2-24	Immunoglobulin kappa variable 2-24	6.92009e+06
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	1.72717e+07
A0A0J9YVY3	HV741_HUMAN	IGHV7-4-1	Immunoglobulin heavy variable 7-4-1	5.88593e+06
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	588570
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	6.87106e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.1289e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1.40663e+06
A0PJZ3	GXLT2_HUMAN	GXYLT2	Glucoside xylosyltransferase 2	315789
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	3.71579e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	2.12244e+07
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	1.27309e+07
A2RUB1	MEIOC_HUMAN	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC	2.80767e+07
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	669987
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	5.03639e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	4.54963e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	2.5522e+07
A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	3.00219e+06
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	9.39671e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	2.80621e+06
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	1.63248e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	3.98458e+06
A6NKT7	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3	490718
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	1.34822e+06
A7E2Y1	MYH7B_HUMAN	MYH7B	Myosin-7B	5.03079e+06
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	2.36824e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	7.41137e+06
B9A064	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	7.18368e+06
C4AMC7	WASH3_HUMAN	WASH3P	Putative WAS protein family homolog 3	5.94668e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	5.19665e+06
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4.05765e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	6.95279e+06
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	2.76994e+07
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1.10469e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	3.63177e+06
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	6.99496e+06
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	4.22317e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	8.98669e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	5.37625e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	2.70648e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	6.31355e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	3.78923e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	1.43107e+07
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.06794e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	4.68455e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	1.86984e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	3.75084e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1.15385e+07
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	1.04977e+07
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	758118
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	1.93591e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	2.13102e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.10011e+07
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	5.00588e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	3.11557e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	7.4893e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	6.61743e+06
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	5.67724e+06
O00292	LFTY2_HUMAN	LEFTY2	Left-right determination factor 2	835165
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	6.34014e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	2.27426e+07
O00329	PK3CD_HUMAN	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	1.39817e+06
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	2.54199e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	2.58888e+06
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	6.15012e+06
