Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\B20190315yix_KRUK_DIA_b1_13.mzML
A0A075B767	PAL4H_HUMAN	PPIAL4H	Peptidyl-prolyl cis-trans isomerase A-like 4H	2.58551e+07
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	1.01136e+07
A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72	6.38611e+06
A0A0B4J2D5	GAL3B_HUMAN	GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	4.42773e+07
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	1.63587e+07
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2.00953e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	2.95717e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1.35017e+07
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1.28762e+07
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	3.01352e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	5.66029e+07
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	2.1686e+06
A2RUB1	MEIOC_HUMAN	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC	4.46899e+07
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	1.36427e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	4.0599e+06
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	2.26073e+08
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1.04936e+07
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1.69491e+07
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.96205e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1.13566e+07
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	7.26647e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.05729e+07
A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	1.60935e+06
A6NKN8	PC4L1_HUMAN	PCP4L1	Purkinje cell protein 4-like protein 1	189635
A6NKT7	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3	636976
A6NMY6	AXA2L_HUMAN	ANXA2P2	Putative annexin A2-like protein	3.01683e+06
A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32	1.13752e+06
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	6.91799e+06
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	9.53306e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	6.89173e+06
C4AMC7	WASH3_HUMAN	WASH3P	Putative WAS protein family homolog 3	9.88649e+06
C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	5.46896e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	1.02103e+07
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.44149e+08
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	9.59887e+06
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	6.36786e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	3.28132e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	5.93581e+06
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	3.37979e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5.22836e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1.55832e+08
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	2.38514e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	8.72548e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	1.39665e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	4.36311e+07
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	3.08069e+07
O00175	CCL24_HUMAN	CCL24	C-C motif chemokine 24	7.58011e+06
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	1.68746e+07
O00182	LEG9_HUMAN	LGALS9	Galectin-9	983119
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	6.94134e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	2.62611e+07
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	1.11215e+07
O00214	LEG8_HUMAN	LGALS8	Galectin-8	5.55366e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.3654e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	4.36691e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.79529e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	2.18912e+07
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	9.92746e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	7.25663e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.08549e+08
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	293431
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.66976e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	5.91983e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.82811e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	4.51419e+07
O00308	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	5.09354e+06
O00329	PK3CD_HUMAN	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	1.14513e+06
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	1.42776e+07
O00338	ST1C2_HUMAN	SULT1C2	Sulfotransferase 1C2	4.3202e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	9.83114e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.57081e+07
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	1.59977e+07
O00410	IPO5_HUMAN	IPO5	Importin-5	5.55745e+06
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	492133
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	2.19383e+07
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	2.37973e+07
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	3.80423e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	4.10887e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	3.56586e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	2.12973e+07
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	7.60304e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	1.36217e+07
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	2.90283e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	2.94801e+07
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3.20719e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	1.24736e+07
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	3.90652e+06
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	2.26675e+07
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	5.85253e+06
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	105014
O00507	USP9Y_HUMAN	USP9Y	Probable ubiquitin carboxyl-terminal hydrolase FAF-Y	2.44082e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	5.49897e+07
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	2.23574e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.2921e+07
O00559	RCAS1_HUMAN	EBAG9	Receptor-binding cancer antigen expressed on SiSo cells	3.92937e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	4.82381e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	2.7172e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	8.21499e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.22938e+07
O00592	PODXL_HUMAN	PODXL	Podocalyxin	5.41315e+06
O00625	PIR_HUMAN	PIR	Pirin	1.26787e+07
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	2.38483e+07
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	4.37548e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	8.34887e+06
O00748	EST2_HUMAN	CES2	Cocaine esterase	4.1634e+07
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	3.05224e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	4.58967e+07
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	6.20389e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	3.43083e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	5.85202e+07
O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	2.02562e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	7.78351e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	2.51922e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	9.45849e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	3.34308e+08
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2.60291e+07
