Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\RA\work\7_1_task\TCPA\E20200929yuanch_Connie_TCPA_60minDIA_b2-2.mzML
A0A024R1R8;Q9Y2S6	TMA7B_HUMAN;TMA7_HUMAN	TMA7;TMA7B	Translation machinery-associated protein 7B	1.90883e+07
A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	4.60508e+06
A0A075B6I9;P04211	LV743_HUMAN;LV746_HUMAN	IGLV7-43;IGLV7-46	Immunoglobulin lambda variable 7-46	1.53003e+07
A0A075B6K5;P80748	LV321_HUMAN;LV39_HUMAN	IGLV3-21;IGLV3-9	Immunoglobulin lambda variable 3-9	2.11143e+07
A0A075B6P5;P01615	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28	1.03524e+07
A0A075B6R9;A0A0C4DH68	KV224_HUMAN;KVD24_HUMAN	IGKV2-24;IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	1.11568e+07
A0A075B6S5;A0A0C4DH67;A0A0C4DH69	KV108_HUMAN;KV109_HUMAN;KV127_HUMAN	IGKV1-27;IGKV1-8;IGKV1-9	Immunoglobulin kappa variable 1-27	1.01644e+07
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	4.12168e+07
A0A0A0MRZ8;P04433	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	1.03975e+08
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	1.65669e+07
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	6.13084e+07
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	1.60799e+08
A0A0C4DH29	HV103_HUMAN	IGHV1-3	Immunoglobulin heavy variable 1-3	1.1301e+07
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	1.4806e+07
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	HV434_HUMAN;HV439_HUMAN;HV459_HUMAN;HV461_HUMAN;HVD34_HUMAN;HVD82_HUMAN	IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61	Immunoglobulin heavy variable 4-61	1.44526e+07
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	1.17704e+07
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	1.32414e+08
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	5.88846e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	8.37891e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	5.42124e+06
