Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_11.mzML
A0A075B6H9	LV469_HUMAN	IGLV4-69	Immunoglobulin lambda variable 4-69	390808
A0A075B6I9;P04211	LV743_HUMAN;LV746_HUMAN	IGLV7-43;IGLV7-46	Immunoglobulin lambda variable 7-46	7.31005e+06
A0A075B6K0;P01717;P01718	LV316_HUMAN;LV325_HUMAN;LV327_HUMAN	IGLV3-16;IGLV3-25;IGLV3-27	Immunoglobulin lambda variable 3-16	9.95461e+06
A0A075B6K5;P80748	LV321_HUMAN;LV39_HUMAN	IGLV3-21;IGLV3-9	Immunoglobulin lambda variable 3-9	6.55328e+06
A0A075B6P5;P01615	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28	2.02407e+07
A0A075B6R9;A0A0C4DH68	KV224_HUMAN;KVD24_HUMAN	IGKV2-24;IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	3.61282e+06
A0A075B6S2;A2NJV5	KV229_HUMAN;KVD29_HUMAN	IGKV2-29;IGKV2D-29	Immunoglobulin kappa variable 2D-29	635896
A0A075B6S5	KV127_HUMAN	IGKV1-27	Immunoglobulin kappa variable 1-27	2.50642e+06
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	8.20691e+06
A0A0A0MRZ8;P04433	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	5.6812e+07
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	3.36295e+06
A0A0B4J1U7	HV601_HUMAN	IGHV6-1	Immunoglobulin heavy variable 6-1	3.69766e+06
A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	2.48172e+07
A0A0B4J1V6	HV373_HUMAN	IGHV3-73	Immunoglobulin heavy variable 3-73	2.53347e+06
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	2.49826e+07
A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49	1.43801e+06
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	7.14448e+06
A0A0B4J2H0;P01742	HV169_HUMAN;HV69D_HUMAN	IGHV1-69;IGHV1-69D	Immunoglobulin heavy variable 1-69D	1.60199e+06
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	1.95051e+07
A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18	359884
A0A0C4DH34	HV428_HUMAN	IGHV4-28	Immunoglobulin heavy variable 4-28	5.35609e+06
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	2.75486e+06
A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	2.45475e+06
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	HV434_HUMAN;HV439_HUMAN;HV459_HUMAN;HV461_HUMAN;HVD34_HUMAN;HVD82_HUMAN	IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61	Immunoglobulin heavy variable 4-61	2.01248e+07
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	3.80717e+06
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	4.31432e+07
A0A494C1R9;A6NKD2;P0CV98;P0CV99;P0CW00;P0CW01;Q01534	TSPY1_HUMAN;TSPY2_HUMAN;TSPY3_HUMAN;TSPY4_HUMAN;TSPY8_HUMAN;TSPY9_HUMAN;TSPYA_HUMAN	TSPY1;TSPY10;TSPY2;TSPY3;TSPY4;TSPY8;TSPY9	Testis-specific Y-encoded protein 9	1.31112e+07
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	1.7203e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	9.27544e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	9.11955e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1.46136e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1.10289e+06
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	286295
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	2.51386e+07
A2A288	ZC12D_HUMAN	ZC3H12D	Probable ribonuclease ZC3H12D	692055
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	1.27485e+06
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	1.32327e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	946925
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	4.57674e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1.89109e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	4.46759e+06
A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	1.30073e+06
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2.67957e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	3.6184e+06
A6NDR6;O00470;O14770;Q99687	ME3L1_HUMAN;MEIS1_HUMAN;MEIS2_HUMAN;MEIS3_HUMAN	MEIS1;MEIS2;MEIS3;MEIS3P1	Putative homeobox protein Meis3-like 1	1.60104e+06
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	237923
A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	1.6495e+06
A6NGU5;P19440	GGT1_HUMAN;GGT3_HUMAN	GGT1;GGT3P	Putative glutathione hydrolase 3 proenzyme	2.06771e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1.62563e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	5.77611e+06
A6NIH7;Q13432	U119A_HUMAN;U119B_HUMAN	UNC119;UNC119B	Protein unc-119 homolog B	2.86512e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	325957
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	1.15831e+06
A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1	1.35248e+07
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	2.09755e+07
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	2.84081e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	1.11872e+07
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	3.04922e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	1.69428e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	2.21935e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	4.55409e+06
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	955369
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	899175
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	3.54054e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	4.37627e+06
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	3.82576e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	9.26406e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	3.95976e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	7.24802e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	2.0032e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	8.8018e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	6.43113e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1.02327e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	1.23907e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	4.05966e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	2.02278e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	3.23422e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	6.22868e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	5.81114e+06
O00214	LEG8_HUMAN	LGALS8	Galectin-8	1.60653e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	3.68635e+06
O00221	IKBE_HUMAN	NFKBIE	NF-kappa-B inhibitor epsilon	137608
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	2.24556e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	7.43474e+06
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	8.07231e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	3.67546e+06
O00255	MEN1_HUMAN	MEN1	Menin	2.66984e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	2.66337e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	4.57154e+06
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	222796
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	2.4481e+06
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	3.65019e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	4.44012e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	1.7026e+07
O00329	PK3CD_HUMAN	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	824464
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	1.16107e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	5.83285e+06
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	2.27989e+06
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	1.97612e+06
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	1.34723e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	1.37799e+07
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	9.94374e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	2.95156e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	941609
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	5.35451e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	8.04726e+06
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	6.60667e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	2.5597e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	6.72412e+06
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	1.55621e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	2.1271e+06
O00478	BT3A3_HUMAN	BTN3A3	Butyrophilin subfamily 3 member A3	6.48947e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	2.7045e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	7.20712e+06
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	1.78267e+07
