Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\RA\work\7_1_task\TCPA\E20200928yuanch_Connie_TCPA_60minDIA_b1-10.mzML
A0A024R1R8;Q9Y2S6	TMA7B_HUMAN;TMA7_HUMAN	TMA7;TMA7B	Translation machinery-associated protein 7B	2.79115e+07
A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	2.91606e+07
A0A075B6I9;P04211	LV743_HUMAN;LV746_HUMAN	IGLV7-43;IGLV7-46	Immunoglobulin lambda variable 7-46	2.59279e+07
A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10	3.22409e+06
A0A075B6K5;P80748	LV321_HUMAN;LV39_HUMAN	IGLV3-21;IGLV3-9	Immunoglobulin lambda variable 3-9	1.99829e+07
A0A075B6P5;P01615	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28	1.32174e+07
A0A075B6R9;A0A0C4DH68	KV224_HUMAN;KVD24_HUMAN	IGKV2-24;IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	7.2252e+06
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	4.19939e+07
A0A0A0MRZ8;P04433	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	1.80517e+08
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	2.03562e+07
A0A0B4J1U7	HV601_HUMAN	IGHV6-1	Immunoglobulin heavy variable 6-1	2.33756e+07
A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	5.38741e+07
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	1.0117e+08
A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49	1.0935e+07
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	2.78398e+07
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	1.50862e+08
A0A0C4DH29	HV103_HUMAN	IGHV1-3	Immunoglobulin heavy variable 1-3	8.61957e+06
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	3.13142e+07
A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	1.08179e+07
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	HV434_HUMAN;HV439_HUMAN;HV459_HUMAN;HV461_HUMAN;HVD34_HUMAN;HVD82_HUMAN	IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61	Immunoglobulin heavy variable 4-61	2.08851e+07
A0A0C4DH67;A0A0C4DH69	KV108_HUMAN;KV109_HUMAN	IGKV1-8;IGKV1-9	Immunoglobulin kappa variable 1-8	1.15426e+07
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	1.08842e+07
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	3.20175e+07
A0AV02	S12A8_HUMAN	SLC12A8	Solute carrier family 12 member 8	1.72057e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	1.84745e+07
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1.86422e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.7094e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1.69145e+07
A1A5D9	BICL2_HUMAN	BICDL2	BICD family-like cargo adapter 2	5.10393e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1.94075e+07
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	1.04418e+07
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	5.45649e+06
A2NJV5	KV229_HUMAN	IGKV2-29	Immunoglobulin kappa variable 2-29	1.52695e+08
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	9.05838e+06
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	401914
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	1.52741e+07
A3KN83;Q9Y2G9	SBNO1_HUMAN;SBNO2_HUMAN	SBNO1;SBNO2	Protein strawberry notch homolog 1	2.51391e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	6.3831e+06
A4D1S5	RAB19_HUMAN	RAB19	Ras-related protein Rab-19	1.84301e+06
A4FU01	MTMRB_HUMAN	MTMR11	Myotubularin-related protein 11	2.65191e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1.40913e+07
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1.56115e+07
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	7.62698e+06
A6NDB9	PALM3_HUMAN	PALM3	Paralemmin-3	9.93811e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1.30252e+07
A6NDR6;Q99687	ME3L1_HUMAN;MEIS3_HUMAN	MEIS3;MEIS3P1	Putative homeobox protein Meis3-like 1	4.99398e+06
A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	1.93465e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1.69131e+07
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	4.87975e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	9.36779e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	3.73297e+06
A7KAX9;Q7Z6I6	RHG30_HUMAN;RHG32_HUMAN	ARHGAP30;ARHGAP32	Rho GTPase-activating protein 32	1.37696e+06
