Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\RA\work\7_1_task\TCPA\E20201002yuanch_Connie_TCPA_60minDIA_b4-4.mzML
A0A024R1R8;Q9Y2S6	TMA7B_HUMAN;TMA7_HUMAN	TMA7;TMA7B	Translation machinery-associated protein 7B	1.16033e+07
A0A075B6I9;P04211	LV743_HUMAN;LV746_HUMAN	IGLV7-43;IGLV7-46	Immunoglobulin lambda variable 7-46	9.5509e+06
A0A075B6K5;P80748	LV321_HUMAN;LV39_HUMAN	IGLV3-21;IGLV3-9	Immunoglobulin lambda variable 3-9	2.35635e+06
A0A075B6P5;P01615	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28	4.08324e+07
A0A075B6R9;A0A0C4DH68	KV224_HUMAN;KVD24_HUMAN	IGKV2-24;IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	4.80025e+06
A0A075B6S5;A0A0C4DH67;A0A0C4DH69	KV108_HUMAN;KV109_HUMAN;KV127_HUMAN	IGKV1-27;IGKV1-8;IGKV1-9	Immunoglobulin kappa variable 1-27	6.80389e+06
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	1.60055e+07
A0A0A0MRZ8;P04433	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	6.53141e+07
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	1.70857e+07
A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	4.93054e+06
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	3.01536e+07
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	2.08433e+07
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	5.51534e+07
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	2.35956e+06
A0A0C4DH38;A0A0J9YXX1	HV551_HUMAN;HV5X1_HUMAN	IGHV5-10-1;IGHV5-51	Immunoglobulin heavy variable 5-51	4.14752e+06
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	KV106_HUMAN;KV112_HUMAN;KV139_HUMAN;KVD12_HUMAN;KVD39_HUMAN	IGKV1-12;IGKV1-39;IGKV1-6;IGKV1D-12;IGKV1D-39	Immunoglobulin kappa variable 1-6	6.569e+06
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	1.09413e+07
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2.21556e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	2.26585e+07
A0M8Q6;B9A064;P0CF74;P0CG04;P0DOX8;P0DOY2;P0DOY3	IGL1_HUMAN;IGLC1_HUMAN;IGLC2_HUMAN;IGLC3_HUMAN;IGLC6_HUMAN;IGLC7_HUMAN;IGLL5_HUMAN	IGLC1;IGLC2;IGLC3;IGLC6;IGLC7;IGLL5	Immunoglobulin lambda constant 7	4.47987e+08
A0PJZ3	GXLT2_HUMAN	GXYLT2	Glucoside xylosyltransferase 2	349797
A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	9.38061e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	4.33873e+06
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	4.12607e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	6.98456e+07
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	9.77834e+06
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	865287
A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	3.87673e+06
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	3.51202e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	3.59234e+07
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	5.41385e+06
A5D8T8;Q6UXF7;Q8NCF0	CL18A_HUMAN;CL18B_HUMAN;CL18C_HUMAN	CLEC18A;CLEC18B;CLEC18C	C-type lectin domain family 18 member A	1.8207e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	4.24725e+07
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.75752e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	9.52999e+06
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	9.57788e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1.09826e+07
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	6.49205e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.78475e+07
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	3.96715e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	934365
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	3.2041e+07
A8MW99	MEI4_HUMAN	MEI4	Meiosis-specific protein MEI4	9.29964e+06
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.04349e+08
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	8.5356e+06
A8MYZ6;P98177;Q12778	FOXO1_HUMAN;FOXO4_HUMAN;FOXO6_HUMAN	FOXO1;FOXO4;FOXO6	Forkhead box protein O6	5.00794e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	1.0756e+07
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	3.93225e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	1.65512e+07
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	9.8275e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	2.26015e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	1.91122e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	5.07003e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1.60459e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	7.02318e+06
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	2.53397e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	4.36954e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	9.25865e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	2.63659e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	5.69668e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	1.14898e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1.60753e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.53874e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	1.33454e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	4.49558e+06
O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	4.68976e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	2.06937e+07
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	2.25102e+07
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	6.0144e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	3.74238e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	2.12062e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.00846e+07
O00255	MEN1_HUMAN	MEN1	Menin	1.53937e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	8.21364e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.3419e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	2.07729e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.17144e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	6.85902e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.01812e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	4.23496e+07
