Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML
A0A024RBG1;Q9NZJ9	NUD4B_HUMAN;NUDT4_HUMAN	NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1.96074e+06
A0A075B6J9;P01699;P01700;P01703;P01706;P01709;P01721	LV140_HUMAN;LV144_HUMAN;LV147_HUMAN;LV208_HUMAN;LV211_HUMAN;LV218_HUMAN;LV657_HUMAN	IGLV1-40;IGLV1-44;IGLV1-47;IGLV2-11;IGLV2-18;IGLV2-8;IGLV6-57	Immunoglobulin lambda variable 2-18	9.4505e+06
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.32964e+07
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	2.88189e+06
A0A131MBU3	IRG7_CAEEL	irg-7	Protein irg-7	1.18183e+07
A0A1C3NSL9	AJM1_CAEEL	ajm-1	Apical junction molecule	4.76044e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	2.78452e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1.29256e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.16168e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	6.6526e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	1.99955e+06
A1KXE4	F168B_HUMAN	FAM168B	Myelin-associated neurite-outgrowth inhibitor	1.21282e+06
A1L020;Q5U5Q3;Q6ZN04;Q86XN8	MEX3A_HUMAN;MEX3B_HUMAN;MEX3C_HUMAN;MEX3D_HUMAN	MEX3A;MEX3B;MEX3C;MEX3D	RNA-binding protein MEX3A	1.16782e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1.05684e+07
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	691010
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	603186
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	2.44488e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	4.84414e+06
A3QMC8	GMPPB_CAEEL	tag-335	Mannose-1-phosphate guanyltransferase beta	9.34502e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	1.41436e+06
A4D2G3	O2A25_HUMAN	OR2A25	Olfactory receptor 2A25	5.42319e+06
A5JYX5	DHS3_CAEEL	dhs-3	Protein dhs-3	2.41202e+06
A5JYX8	NCLN_CAEEL	nra-2	Nicalin	2.35244e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	4.81032e+07
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	3.06383e+07
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	4.57291e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1.56818e+07
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	7.81348e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	2.87902e+06
A6NFN3	RFOX3_HUMAN	RBFOX3	RNA binding protein fox-1 homolog 3	3.01801e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	5.37013e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	8.01077e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.42877e+06
