Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML
A0A075B6J9;P01699;P01700;P01703;P01706;P01709;P01721	LV140_HUMAN;LV144_HUMAN;LV147_HUMAN;LV208_HUMAN;LV211_HUMAN;LV218_HUMAN;LV657_HUMAN	IGLV1-40;IGLV1-44;IGLV1-47;IGLV2-11;IGLV2-18;IGLV2-8;IGLV6-57	Immunoglobulin lambda variable 2-18	1.49544e+07
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.83215e+07
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	3.4325e+06
A0A131MBU3	IRG7_CAEEL	irg-7	Protein irg-7	1.21715e+07
A0A1C3NSL9	AJM1_CAEEL	ajm-1	Apical junction molecule	6.83819e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	3.02592e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	6.32201e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.67906e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	6.70171e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	1.88745e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	3.87961e+07
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	804796
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	3.69255e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	6.33337e+06
A3QMC8	GMPPB_CAEEL	tag-335	Mannose-1-phosphate guanyltransferase beta	4.46354e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	1.36435e+06
A4D2G3	O2A25_HUMAN	OR2A25	Olfactory receptor 2A25	5.60377e+06
A5JYX5	DHS3_CAEEL	dhs-3	Protein dhs-3	2.83748e+06
A5JYX8	NCLN_CAEEL	nra-2	Nicalin	2.13348e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	2.86866e+07
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	3.324e+07
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	6.07766e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1.71383e+07
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	7.36326e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	4.89936e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	4.88899e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	8.90321e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.45949e+06
A6NJ88;Q9NXZ1	SAGE1_HUMAN;SGE2P_HUMAN	SAGE1;SAGE2P	Putative SAGE1-like protein	894991
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2.13375e+06
A6NLC8	YE016_HUMAN		Putative TAF11-like protein ENSP00000332601	8.21064e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	609879
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.47593e+08
A8WHP8	PLIN1_CAEEL	plin-1	Perilipin-1 homolog	7.89735e+06
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	142661
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	1.01366e+07
B1V8A0	SH3GH_CAEEL	unc-57	Endophilin-A homolog	6.55416e+06
B2D6K9	PPH6R_CAEEL	saps-1	Serine/threonine-protein phosphatase 6 regulatory subunit	866072
B2FDA8	SMC3_CAEEL	smc-3	Structural maintenance of chromosomes protein 3	621300
C0HLB3;C0HLB4	VATL2_CAEEL;VATL3_CAEEL	vha-2;vha-3	V-type proton ATPase 16 kDa proteolipid subunit 2	7.01956e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	972221
C6KRN1	SAO1_CAEEL	sao-1	Suppressor of aph-1	4.58982e+06
D0PV95	DDX3_CAEEL	laf-1	ATP-dependent RNA helicase laf-1	1.10678e+07
D5MCN2	LARP1_CAEEL	larp-1	La-related protein 1	8.57813e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	8.61904e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	2.94508e+07
G4SLH0	TTN1_CAEEL	ttn-1	Titin homolog	7.51255e+06
G5EBV6	PGL3_CAEEL	pgl-3	Guanyl-specific ribonuclease pgl-3	2.04119e+06
G5EBZ4	LE418_CAEEL	let-418	Protein let-418	1.23724e+06
G5ECM9	CPI2_CAEEL	cpi-2	Cystatin cpi-2	2.04728e+07
G5ECU1	SKR1_CAEEL	skr-1	Skp1-related protein	1.13724e+07
G5ECY0	DLG1_CAEEL	dlg-1	Disks large homolog 1	4.60875e+06
G5ED29	ATX2_CAEEL	atx-2	Ataxin-2 homolog	3.95187e+06
G5ED41	CAND1_CAEEL	cand-1	Cullin-associated NEDD8-dissociated protein 1	4.98722e+06
G5EDM4	NHRF1_CAEEL	nrfl-1	Na(+)/H(+) exchange regulatory cofactor-like protein nrfl-1	2.4644e+07
G5EDN6	CANB_CAEEL	cnb-1	Protein phosphatase 2B regulatory subunit cnb-1	4.34527e+06
G5EDP2	NLTP2_CAEEL	daf-22	Non-specific lipid-transfer protein-like 2	1.59223e+07
G5EDR3	2AB1_CAEEL	sur-6	Serine/threonine-protein phosphatase 2A regulatory subunit sur-6	4.06567e+06
G5EDZ2	UMPS_CAEEL	umps-1	Uridine 5'-monophosphate synthase	1.16611e+07
G5EDZ9	CPI1_CAEEL	cpi-1	Cystatin cpi-1	1.38126e+07
G5EEG7	SMU1_CAEEL	smu-1	Smu-1 suppressor of mec-8 and unc-52 protein	2.16e+06
G5EEH9	NUP98_CAEEL	npp-10	Nuclear pore complex protein Nup98-Nup96	5.23012e+06
G5EEI4	ASP1_CAEEL	asp-1	Aspartic protease 1	6.11541e+07
G5EEM5	ZYG9_CAEEL	zyg-9	Zygote defective protein 9	1.02713e+06
G5EEN4	GCK3_CAEEL	gck-3	Germinal center kinase 3	1.8659e+06
G5EES6	UFD3_CAEEL	ufd-3	Ubiquitin fusion degradation protein 3 homolog	2.94519e+06
G5EF60	STIM1_CAEEL	stim-1	Stromal interaction molecule 1	1.21431e+06
G5EFF7	UBQL_CAEEL	ubql-1	Ubiquilin	1.09711e+07
G5EFT4	AMP1_CAEEL	ltah-1.1	Aminopeptidase ltah-1.1	1.20363e+06
G5EFZ1	GPMI_CAEEL	ipgm-1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1.95441e+07
G5EGA5	FAT2_CAEEL	fat-2	Delta(12) fatty acid desaturase fat-2	2.8193e+06
G5EGA6	DHRS4_CAEEL	dhrs-4	Dehydrogenase/reductase SDR family member 4	1.65191e+06
G5EGH7	LON8_CAEEL	lon-8	Protein lon-8	6.25024e+06
G5EGK8	PP2A_CAEEL	let-92	Serine/threonine-protein phosphatase 2A catalytic subunit	4.13056e+07
G5EGN2	FAT6_CAEEL	fat-6	Delta(9)-fatty-acid desaturase fat-6	3.07733e+06
G5EGP8	CATZ1_CAEEL	cpz-1	Cathepsin Z-1	2.57565e+07
H1UBK1	MAP2_CAEEL	map-2	Methionine aminopeptidase 2	1.20365e+07
H2KYE0	NRA4_CAEEL	nra-4	Nicotinic receptor-associated protein 4	7.15852e+06
H2KYQ5	GYG1_CAEEL	gyg-1	Glycogenin-1	9.61071e+06
H2KYS8	CPNA1_CAEEL	cpna-1	Copine family protein 1	1.58853e+06
