Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML
A0A075B6J9;P01699;P01700;P01703;P01706;P01709;P01721	LV140_HUMAN;LV144_HUMAN;LV147_HUMAN;LV208_HUMAN;LV211_HUMAN;LV218_HUMAN;LV657_HUMAN	IGLV1-40;IGLV1-44;IGLV1-47;IGLV2-11;IGLV2-18;IGLV2-8;IGLV6-57	Immunoglobulin lambda variable 2-18	1.40704e+07
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.24735e+07
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1.99128e+06
A0A131MBU3	IRG7_CAEEL	irg-7	Protein irg-7	1.60873e+07
A0A1C3NSL9	AJM1_CAEEL	ajm-1	Apical junction molecule	5.09889e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	2.42911e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2.39014e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.23646e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	6.27168e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3.8793e+06
A1L020;Q5U5Q3;Q6ZN04;Q86XN8	MEX3A_HUMAN;MEX3B_HUMAN;MEX3C_HUMAN;MEX3D_HUMAN	MEX3A;MEX3B;MEX3C;MEX3D	RNA-binding protein MEX3A	1.32507e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	2.40045e+07
A1L429;A6NDE8;O76087;P0CL80;P0CL81;P0CL82;Q13069;Q13070;Q4V321	GAG13_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN	GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE13;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	7.49442e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	679410
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	2.08283e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	4.6361e+06
A3QMC8	GMPPB_CAEEL	tag-335	Mannose-1-phosphate guanyltransferase beta	8.27282e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	1.37274e+06
A4D2G3	O2A25_HUMAN	OR2A25	Olfactory receptor 2A25	4.49856e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	432871
A5JYX5	DHS3_CAEEL	dhs-3	Protein dhs-3	2.8946e+06
